step	accuracy
0	0.575124979019165
1	0.6085000038146973
2	0.6348749995231628
3	0.655875027179718
4	0.6658750176429749
5	0.6841250061988831
6	0.6726250052452087
7	0.6908749938011169
8	0.6918749809265137
9	0.7020000219345093
