step	loss
0	0.673530638217926
1	0.6569992899894714
2	0.6389192342758179
3	0.6147801280021667
4	0.6081805229187012
5	0.5924360156059265
6	0.6019708514213562
7	0.5760407447814941
8	0.5783142447471619
9	0.5688120126724243
